$FrameId	Reaction	Power	Resistance	Flux
CITSYN-RXN	CSm	3.295128938	0.403464205	2.8578123
ACONITATEDEHYDR-RXN	ACONTm	3.299805465	0.404036416	2.8578137000000003
ACONITATEHYDR-RXN	ACONTm	3.299805465	0.404036416	2.8578137000000003
 ISOCITRATE-DEHYDROGENASE-NAD+-RXN	ICDHxm	3.0848532989999997	0.377727335	2.85777512
2OXOGLUTARATEDEH-RXN	AKGDam	3.08491682	0.37772774200000003	2.857803
SUCCCOASYN-RXN	SUCOASm	3.299735535	0.40404120000000004	2.8577665
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	SUCD1m	3.2995264730000002	0.40404568700000004	2.8576601000000004
FUMHYDR-RXN	FUMm	3.298868089	0.40405951	2.8573261000000003
MALATE-DEH-RXN	MDHm	3.292751413	0.403607796	2.8562729
GAPOXNPHOSPHN-RXN	GAPD	3.000868075	0.36743364	2.857814227
PHOSGLYPHOS-RXN	PGK	3.2930707939999997	0.403211947	2.8578132000000003
TRIOSEPISOMERIZATION-RXN	TPI	0.509993391	0.24977923	1.428907489
F16ALDOLASE-RXN	FBA	0.5099922960000001	0.24977904399999998	1.428906489
PEPDEPHOS-RXN	PYK	3.0008247060000004	0.367438117	2.857776165
3PGAREARR-RXN	PGM	3.1350789569999997	0.38387484299999997	2.8577841
2PGADEHYDRAT-RXN	ENO	3.0008398730000003	0.367442779	2.85776526
GLUCOKIN-RXN	HEX1	18.11618432	8.872761405	1.428907
PGLUCISOM-RXN	PGI	0.949461805	0.46501733799999995	1.4289077
6PFRUCTPHOS-RXN	PFK	18.11618414	8.872761316	1.428907
TRANS-RXN2T-215	PYRt2m	3.0007744919999997	0.367434851	2.857764955
PYRUVDEHY-RXN	PDHm	3.003333598	0.36743102299999997	2.858998162
